"Site_id","Round","links_sps","num_compartments","NODF","link_dens","weigh_connectance","Shannon","int_evenness","Alatalo_int_evenness","H2","species.poll","species.pl","niche.overlap.poll","niche.overlap.plant","functional.comp.poll","functional.comp.plant","modularity","z","links.corr","nodf.corr","linkdens.corr","conn.corr","ala.corr","h2.corr","V26","V27"
"LaCunya","3",0.769230769230769,3,0,3.2,0.246153846153846,2.30258509299405,0.642548604469234,1,0,9,4,0.527777777777778,0.0416666666666667,5.3334513286038,8.2326564529299,"0.44",NA,-18.2294582556676,NA,-7.67285018183506,-10.6266963356812,-29.8728619529123,-31.5328984414372,-39.3380948127985,-0.936976268804011
"LaCunya","4",0.846153846153846,2,0,2.61277101728056,0.200982385944659,2.31142344469197,0.618412990111619,0.868624938206776,0.237293093462234,7,6,0.41708882134414,0.142857142857143,10.1729632431626,12.3758626902123,"0.514793","0.57042011080095",-10.8474771207926,-1.74550678417114,-3.61875869339933,-6.03054732473523,-16.612778163215,-18.3057886177954,-14.3074383502872,-1.07452217179777
"LaCunya","5",0.75,3,0,2.13723006374606,0.178102505312172,2.09827373952525,0.636643688638955,0.855365525142048,1,9,3,0.333333333333333,0,8.86241303004086,9.98283627240976,"Error in try(mod@likelihood, TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
","Error in try((mod@likelihood - mean(like.nulls))/sd(like.nulls), TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
",-20.0011280432774,-1.4813132427778,-10.5055677249768,-12.4646952834107,-30.241793832643,-31.7034238835292,-27.5469379780356,-0.699946527535574
"LaCunya","6",0.7,3,0,2,0.2,1.94591014905531,0.612296157627471,1,0,6,4,0.333333333333333,0.0666666666666667,5.40155930971718,6.96455163312516,"0.530612",NA,-13.6925690854964,NA,-6.34225282528748,-8.14225282528748,-18.5258353524057,-19.8594493438335,-32.5807183850502,-0.666920241629876
"LaCunya","7",0.833333333333333,1,0,2,0.333333333333333,1.6094379124341,0.773976031629121,1,0,4,2,0.5,0.4,3.55228474983079,3.46410161513775,"0.32",NA,-8.95462445402245,NA,-6.02492986461474,-7.69159653128141,-9.86898049902114,-10.7044423798261,-25.1774725321555,-0.714142842854285
"LaRocina","1",0.8,2,0,2.51122383828775,0.251122383828775,1.89378823239114,0.683039722841143,0.75487211379178,1,8,2,0.571428571428571,0,9.33953749200337,9.59166304662544,"Error in try(mod@likelihood, TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
","Error in try((mod@likelihood - mean(like.nulls))/sd(like.nulls), TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
",-44.6946150659614,-2.06836674246631,-21.0838412594756,-23.3439427139346,-39.6206557292537,-40.8314042388037,-17.5768791406799,0.381751451381602
"LaRocina","2",0.904761904761905,2,6.7948717948718,3.56386841256147,0.169708019645784,2.91249440333105,0.664645527319531,0.956176490227,0.333333333333333,16,5,0.348593073593074,0.147698179956244,10.2017660677931,13.35002825935,"0.571429","0.225264608102572",-20.4058116293981,5.3320649453076,-6.75893973194218,-10.1531001248579,-37.5995066797679,-39.8473555557794,-19.974113786297,-1.58299550241833
"LaRocina","3",0.866666666666667,2,5.73770491803279,2.71892874571564,0.181261916381043,2.47995552054452,0.655346523418463,0.883548333696341,0.58688267143572,11,4,0.349464570517202,0.114455592716462,10.9212314643464,12.3957759773167,"0.519531","0.973742848007544",-14.4133007976813,4.27596210348258,-6.60430900274349,-9.14197583207809,-26.4824129056964,-28.3070219028225,-27.3967278400774,-1.44395911069633
"LaRocina","4",0.85,3,0,3.34236793543491,0.167118396771745,2.79851325694329,0.648180882807602,0.953012084932101,0.499999999999999,15,5,0.355555555555556,0.0939393939393939,9.26560495968146,12.9554685666887,"0.614958","1.63703776572847",-18.1721532219709,NA,-9.61727598190051,-12.7925255205637,-39.0580416024518,-41.2083739765876,-50.1036203489422,-0.793805812174527
"LaRocina","5",0.875,4,0,4.67497707411262,0.146093033566019,3.2142612289819,0.62234161206493,0.78259934131952,0.587223810437899,25,7,0.320777777777778,0.0253605224596527,18.5615809669791,21.8317119863111,"0.583984","1.12049005542722",-23.9436093927489,-2.48905946037414,-5.45741067533231,-9.9862947158789,-46.4863822508116,-49.0783018677285,-17.4594564942478,-1.26119325107525
"LaRocina","6",0.91304347826087,3,2.45398773006135,4.51840967435153,0.196452594537023,2.97613880133844,0.661392151975175,0.905716365355975,0.547180468885216,18,5,0.40425115915312,0.0409972487347577,14.2123347462275,15.5713519700863,"0.5056","0.937649671262679",-18.4062443623003,0.315691753434358,-8.21104231864935,-12.5329993984639,-40.5869703912747,-42.9017170406379,-28.2872777155234,-2.18827122009599
"LaRocina","7",0.84,4,3.84024577572965,3.57060016671877,0.142824006668751,3.02802907330741,0.639337457309009,0.975081328547647,0.296081910965866,19,6,0.274296853244222,0.0485232067510548,9.90878659954759,14.5976715121189,"0.644628",NA,-26.8513622657057,2.80552509964518,-12.5178096865637,-15.9455858466137,-56.7794191724488,-59.1681107884472,-41.9295148987924,-0.96458466686627
"Lasmulas","1",0.727272727272727,3,0,2.15095307012067,0.195541188192788,1.97300140639361,0.592100935092329,0.847836596631205,0.459147917027244,7,4,0.344322344322344,0.0555555555555556,9.03951031831646,9.96569160187824,"0.56","1.61699376959975",-12.9743751765198,-2.052491536747,-4.95338413157441,-6.90879601350229,-16.4438499392696,-17.8247504105709,-15.199019161903,-0.361641075601878
"Lasmulas","2",0.777777777777778,2,13.8888888888889,1.87395957646948,0.208217730718831,1.90615474653985,0.659484283062361,0.942873837077085,0.420619835714305,6,3,0.276190476190476,0.19047619047619,6.71938976887121,6.82842712474619,"0.46875",NA,-13.409688957645,12.9888888888889,-6.58694529159792,-8.25268713734857,-18.4765444160463,-19.7232148795238,-25.7542003486128,-1.0062683257422
"Lasmulas","3",0.833333333333333,2,10.2564102564103,2.45153474964766,0.204294562470638,2.17618566156031,0.660283184525022,0.865089305191723,0.47870397138568,9,3,0.407407407407407,0.225806451612903,10.6670065892301,10.4721359549996,"0.484444","2.16820866822104",-18.8886906621076,7.18475363827321,-9.43356272861618,-11.6808029157932,-30.3106520201719,-31.8265544972072,-16.8634051230618,-0.637122805479451
"Lasmulas","4",0.958333333333333,3,5.52016985138004,3.00159242587214,0.125066351078006,3.07801456774747,0.644054202027636,0.911519634894021,0.287322507379175,17,7,0.192910539215686,0.108459109379765,18.0639229785004,17.4502030620201,"0.556213","-0.259250989488434",-19.4901100714078,3.5355853346385,-8.36329678930611,-11.2398228641002,-42.6780887549512,-45.112049120671,-25.1239084992427,-1.92877001699497
